Archive Folder,Public Series Label,PNG Count,Other Files,Size MB,Common Dimension,Release Status,Series Description
Alchemy Dragons,Alchemy Dragons,24,0,4.44,432x432,Release-ready set,"Mystic laboratory and potion-themed dragons with brass apparatus, spellbooks, elixirs, alchemical tools, cauldrons, and arcane study props."
Celtic Dragons,Celtic Dragons,24,0,3.63,452x452,Release-ready set,"Celtic knotwork dragon emblems with interlaced bodies, jewel-tone palettes, white linework, and decorative knot motifs."
Crystal Dragons,Crystal Dragons,24,0,4.42,415x415,Release-ready set,"Gemstone and crystal dragons with mineral bodies, geodes, luminous facets, ice-like formations, and saturated jewel colors."
Cute,Cute Helper Dragons,44,0,5.51,296x296,Mixed count / review,"Cute baby/helper dragons with file, folder, media, utility, cloud, message, book, heart, and tool-themed poses."
Cyber Dragons,Cyber Dragons,24,0,4.45,488x488,Release-ready set,"Futuristic cybernetic dragons with glowing circuitry, holographic effects, tech armor, neon energy, and sci-fi UI motifs."
Elemental Dragons,Elemental Dragons,48,0,9.52,480x480,Release-ready set,"Elemental fantasy dragons covering fire, ice, forest, storm, shadow, gold, bone, water, lava, and armored variants."
Engraved Dragons,Engraved Dragons,24,0,4.92,443x443,Release-ready set,"Old-fantasy engraved or woodcut dragons with monochrome ink linework, limited color accents, and classic mythical poses."
Etched Dragons,Etched Dragons,21,1,5.79,484x484,Contains non-PNG working file,"Etched sketch-style dragons with environmental vignettes such as caves, treasure, storms, moonlight, swamp, lava, ice, and bone."
Heraldic Dragons,Heraldic Dragons,24,0,4.87,466x466,Release-ready set,"Polished heraldic crest dragons with shields, banners, jewel accents, moon/sun symbols, and noble fantasy emblem framing."
Japanese Dragon,Japanese Dragon,23,0,3.73,673x673,Partial set after manual fixes,"Ink-brush Japanese-style serpentine dragons with cloud, wave, red sun, seal stamp, and sumi-e inspired forms."
Nautical Dragons,Nautical Dragons,27,0,5.64,643x643,Mixed count / review,"Map-and-sea inspired dragons with compass roses, waves, scrollwork, clouds, old chart ornamentation, and maritime fantasy styling."
Nordic Dragon,Nordic Dragon,24,0,3.78,380x380,Release-ready set,"Norse/Nordic dragons with rune circles, frost, knotwork, ice, aurora accents, shields, wolves, and cold mythic decoration."
Ornate Dragons,Ornate Dragons,24,0,4.81,464x464,Release-ready set,"Ornate gold-line decorative dragons with jewel-tone palettes, stars, vines, roses, clouds, ice, treasure, sun, and moon motifs."
Scholarly Dragons,Scholarly Dragons,24,0,4.02,408x408,Release-ready set,"Scholar and librarian dragons with books, scrolls, globes, maps, robes, glasses, candles, and study-desk props."
Stained glass Dragon,Stained Glass Dragons,22,0,6.02,484x484,Partial set after manual fixes,"Stained-glass dragons with leaded panel linework, luminous gemlike color blocking, cathedral-window styling, and bright fantasy palettes."
Steampunk Dragons,Steampunk Dragons,24,0,4.36,456x456,Release-ready set,"Steampunk dragons with brass, copper, gears, goggles, boilers, gauges, pipes, locomotives, tools, and mechanical props."
Tarot sheet,Tarot Dragons,47,0,9.55,490x490,Mixed count / review,"Tarot-card and occult fantasy dragon designs with oval frames, crowns, swords, chalices, stars, flames, moons, crystals, and mystical symbols."
stone-dragons-sheet,Stone Dragons,24,0,4.74,474x474,Release-ready set,"Stone statue and gargoyle-style dragons with marble, moss, carved rock, temple, rune, gothic, crystal, fossil, and cliff variants."
